account,amount
15kWfH7Xtw2jDkbP2Z9sDJYZg7arHhkbCsUqFj67cd2bwF1q,1000000000000
13AueKQLtbwkNjAA2Q2tdSYvxBHLBkXyJdczh9h9i3wdkX4v,100000000000
16u7fWA1DeAjriSVP9P8KNGfMUW1bqPafrmQewRd5tmBrct,110000000000
1417CUiYMHXCYCtf1xJMomPNnEuMPTspZ6RvxdcbLVtjrthB,590000000000
1uVwHqCs3F2jqfFFL8AYxz9WJpXX3F9oHFhtX1mtsjqvfFK,700000000000
14YZHmmJt4UvEizkxBwwDawLJLMXMiNBpCJJwFBuHtXYvGsn,789000000000
16f2PAmWAxRc2pxDnvasioka4Xk5zqkUpqNENmXEH2y3Ahkr,1100000000000
13Gkwj3LtZDjZMZ14FzesnuGxwkcn2kxwqiwH8fRm4MA3hWB,61000000000
16PwWVv7PQ68tpSoAz9zVFZs8UuRzqcJwG8upWRuYxrf2xfN,145500000000
14r2CfWuwumWxA6T2WoVouBuUvqzF7vg8UNuBsRukPq6xBce,50000000000
15d9fU1H5mBruHG4TPv8fBpYtFu8JdXnb9MxDwQLoaWGu2xJ,50000000000
1cK1tzegYfjxNnGdXuyWv4zzSeTrhwRmW6mrqSVtxGZbbMr,150000000000
15m2NLkFAFuDQUrhgzjKK31agTw5Zyr8eKNNHH31Fm1BwC26,100000000000
15a6qKebkPUv9cjqugxFtDqxYPSHjzdLL5caj7tivhKeWqFn,200000000000
12bxasZSNv9tLsPDGTG1JgX6VZEUvVwUuCJsXjADtZhH8F89,170000000000
14BhFoxzSBfHPVdntUbTXAfEyFvAaAKbg93rxU1g7wHkS5Yh,200000000000
1sHjqSNw9VJGjy676ztpSGTZwM2acCA67sRecStUsPWWYat,240000000000
167gpjVFqQk7zGBVXNCuQ7LLWSWyRYV6SJbdLzsWFyE3TJyw,100000000000
12h3afaZxvuncNLALLyKC9w4jG1xwmKutYmN6Kg7zusYkQMy,1500000000000
12TiZhWb4X4A6DFp3nVcA89YukzwFBgvcjgqFHNgQRt4kEcA,200000000000
162bJnMqEXu4ze1TPqG6kpSubThoRVZSuHov45PpkQhLb9iN,300000000000
1NTNzNrtnAZXMa7RQPMWvTS5fMcd3YdkXBHvhY4c8X6g7s9,50000000000
12HeXpgz5jgmj1Zii2a1mV1yW1ZkBMXbrVs99UsWdQxrDz6h,100000000000
16G53FBtVL5mWF37t1AFEisGGK4KfmrM6T1TN2Q2GGhpr4px,750000000000
15Lq1yb5KngrqU987x3v75ZCtPLaP59oEnTAgwMgh7sTB522,1000000000000
15oLWWYAR3j7Br1hzrF9zqJsjDLzQedVpV6ZDixLEp9ueLxM,50000000000
13xWJ3bUgxekbE5KPtyfUtsGRQQYPP7AJnyu4N6Q1faPQSu9,4160000000000
14MsJUzCFnW6eYeTttYDLFxv4j9csH1T8GV9LhfxQX8nX2n8,4000000000
13HAHGNSDEHoTeBt78P1dmpCDVzMYS56LCqPicieTQwgE9pG,150000000000
1HKtYoMcQ5wvzzyxgkG4vYbkrm4V8kFPuFkPNcLrXMcVCCC,50000000000
12mR9yXb9r5JVkJNRVhvgVVJUdoSfacnDZCGSwBgzP64CUPV,750000000000
16Lwz7sAG3E6EiLDSbRvvMuo2TrzHseLEqivzeEdgSu4TFUL,150000000000
12vB85zy8avZ8phZeDGL78HaFacfg2X7adNVBW7bcpPcbguK,5550000000000
1sfmzboN8TmKSUHCLUMYksqCqkB9VvULZdGXmeSyMWTVho4,100000000000
14Je3Ha1TKJu2roUtnpJcJkogDfQLbAobHp69Tn1VPChPUoR,630000000000
1336ChKb77zNUTS7CKKY4erUPMCNhHsdpsos2KPf2vk5namE,1800000000000
15B7J5jTDGkaArgMvP7iZUYJjSWHLvsBJTVvMCtSt4mpzx78,95000000000
15fjQePfzjAHCmLYVGt9LtAiSZzSrXgHs77zSDDHpoaMe5bP,1900000000000
1qEuhVRtt1jHPM9y2WHmWrJqMNrCAz4Px3c6GX4q6DYEUer,300000000000
16f6sHmD4YYPSU9g8bggBGknvcRLnFLhtnhfbKzpn9i3YvSp,50000000000
13rZWbADsdggYtg4z1KZBZSLo9zMtAVK5cTbcWhnc9ArtjBa,1000000000000
11zNMzAXzUnX7jkxdNbUqAdKjFMtLNa2csy5qMq8riTdNTr,50000000000
14VCrCV1tAbi9MF8W4ESMrg9WeNfP9ziRU5Vb8LTyPD6PWAT,200000000000
