account,amount
12GynkEYxGweagwfegNCVMyHX2c9EtZ4agYPxLrNHdR2NF9V,250000000000
1128CtCaVAFsyh8KTYuYsNpFYo8JDqYWv2qRYBbUC3dXrFwD,50000000000
1y2V1ECTjv2UWsuepJMpwfTKnm2Mj1qod4eCmzMUcP4DKdu,60000000000
15JPYxRfrftrrJaZtgYbCk3g4x6XzPfMFkyLV2qv9DFyUzuu,50000000000
13G98jBr82nTLxNtV1ZM8uXgKxjBGySzoVjVWDXcSsd7pdWU,200000000000
14BkC1taU6HsCsiKEQK2mMLtAspSCdk5GMrbvHAEyn4a4dkw,101000000000
12zYUFNJpGhJbVHLLfscDYp5mZpMuKAidZzS2ppD2ad7bzNG,500000000000
14NHwD14aJ2gqXHxhfX6p3kj5FQRBacdm4fp11UQkE4VoNj8,91000000000
16aChdBysuc9Cbv8gScv1VvvgWpAPP8oTjuiZs6AUWEWNpJb,152700000000
15VcckBKPYdSiRW7oAc1cmpta8dD1WvJJxYWdvSPf9qSrixE,60000000000
13tqqnN6PDci8sbyyWeS9P4xjtekfzi3j66hwWaj9BB6egp9,1000000000000
15BYBoJufBVvNJiMJYAyYG6tSMz4cPwCcd6zVdHkWszrKHbF,820000000000
135qmsPkQCKG8kPSLLq47VpgDb6YGQJnM1WMb1SzMVygLYTz,112500000000
1311Kf7S8xVvkcMN41MLoAcfFTvZsNzqnTQgZ97mdfRB4nam,300000000000
138j6xJ3niZM2sgEF1V8ygbheEemnoHzgj7CH1RKqFwDoHwe,63000000000
14whnVUqJRGV8FwrGFYvujd2Q81eypaFg1EgGYzcQvPzCLrf,220000000000
1C4LtY81F2RDXdpEFg1BsBmA69cnaxA9mFsPA4K1WMmzm9q,330000000000
13DnmQHD5onxx9duVxmc3tyTxcrEW2e5o88L4a6UdiSg2aw4,1000000000000
15ATzauNoPMVJyqpiDoKunj7FMDZriueh4g8u2SX86g4TqWw,50600000000
15K5ZXpqUHkNXHaDpduR49odjy5mwdAb92ASwWfNj5ejEEBD,50000000000
1zrBSU7hsMvy3c4bZNw8dQLgT6XJpg29ANGTdpHgR3rmmYr,150000000000
12sNyqkwaSsWgaXbGQ8jUompiSTnmMQaaTcLpkeWPWz8okS3,100000000000
12ggzbxzwGwsdKFp9wWqK1xq7T1HDTck6WBnHZva29iaWfzp,53600000000
13bT1CBPKJs1AMTPYPfrNkrUzCpfuteQ8JECckwSj7JKsqkj,50000000000
13jMG93ZJbmDSpC5ViEExfy375fAkYpKd4XC76Zvfszo75aW,50000000000
13whVhs8udpQDwAb6LE9zfcnDyd1h51ZTHfoK2Yq91bL2szL,50000000000
13EdJcZx7apgBUkybuwaSWxWPHf4CAuNXWDhZMSndVHknccq,645000000000
1437YjEYTurzJ35SUrKVKd999FY3w4P7fcGbcpTBZxdm9eVJ,300000000000
15VJoKedMTwvtcQHr5Na9Hnkbu895RZnQfPpb5xBS34Grqb8,70000000000
15wMBhHMx9WPoXLAFk2g3B32uc1WfDZZfsggMgA4MWPiDeTn,100000000000
13d7Q8KvZjajQJTHAb6MgJbS6xSaVqihipEFosr5Lj5vz4V2,1200000000000
1E9X2YdydQjdyQPoxoQUDoFuemHtiaWstdcdRDkmreHdjcX,50000000000
15LvUAS914xYGfifF1XL7BffjRQtgxBCGtZXJurps7pPQYiP,189000000000
12nXadaRyHFtPKrqYMzQ1favMxeiKag9zhJUh8FaSGACdiBQ,100000000000
14dLq7XS5N6fkeXMKhefDfUDozJgZAJUMQdyJqXUUzvZYBPG,350000000000
12Ku1h9uRsnT3kzGU5Y2xRcn1pn9wfAw8sgdsNWkP6dYZGru,100000000000
14u3LezDxcFN4kVwkvEKdDkns5jaowkwuyS1BpzW5RMsQaR9,194200000000
